model,dataset,iou,gutmask_f1,gfp_bactmask_recall,rfp_bactmask_recall
bfg_to_gut_mscarlet.h5,exp1_5_24,0.08067940269482858,0.14931209226244443,0.2777149787219445,0.20435127763871597
bfg_to_gut_mscarlet.h5,exp2_6_4,0.3982097897085308,0.5695990212863549,0.6086690671932684,0.5561429908831577
bfg_to_gut_mscarlet.h5,exp3_6_6,0.5252181935097641,0.6887117078384939,0.7271148652466579,0.7845627032274461
