epoch,iou_score,loss,val_iou_score,val_loss
0,0.5377799868583679,0.6340965032577515,0.5107423067092896,0.92063969373703
1,0.5956981182098389,0.5318918824195862,0.6204734444618225,0.6431049108505249
2,0.6149855256080627,0.5109302401542664,0.6082401871681213,0.604070246219635
3,0.6466006636619568,0.4692624509334564,0.5643015503883362,0.7050560712814331
4,0.6628514528274536,0.4561990797519684,0.5822058320045471,0.6394443511962891
5,0.6923671364784241,0.41889843344688416,0.6189451813697815,0.5500229597091675
6,0.7007695436477661,0.40988290309906006,0.5898994207382202,0.6241170167922974
7,0.7325973510742188,0.37170636653900146,0.6781350374221802,0.47388002276420593
8,0.7477172613143921,0.34193602204322815,0.6919844150543213,0.4359723925590515
9,0.7521159052848816,0.3359987735748291,0.7097620368003845,0.42671048641204834
0,0.7853600978851318,0.280048668384552,0.7355483770370483,0.39021632075309753
1,0.7917557954788208,0.29004737734794617,0.7358490228652954,0.37663862109184265
2,0.795097827911377,0.28323954343795776,0.7304312586784363,0.3877159655094147
3,0.80917888879776,0.2672467827796936,0.7651638388633728,0.3252423107624054
4,0.8160620927810669,0.2589184641838074,0.7635136246681213,0.330515593290329
5,0.8226580619812012,0.24605193734169006,0.7485623955726624,0.3482570946216583
6,0.8311001062393188,0.23057770729064941,0.7659590840339661,0.3276285231113434
7,0.8387556672096252,0.2222217321395874,0.762779951095581,0.34175509214401245
8,0.8383306860923767,0.22425124049186707,0.783487856388092,0.3020596504211426
9,0.8589213490486145,0.1913003772497177,0.7935559153556824,0.3012341260910034
10,0.8563199043273926,0.20489782094955444,0.6136488914489746,0.7454611659049988
11,0.8637956976890564,0.19569528102874756,0.8036007881164551,0.2831801772117615
12,0.8518292903900146,0.2121429294347763,0.7959814667701721,0.29830917716026306
13,0.8568381071090698,0.1950499266386032,0.7885022163391113,0.3153214454650879
14,0.8591803312301636,0.20642444491386414,0.801899254322052,0.27974674105644226
15,0.8674067854881287,0.1893341988325119,0.8241001963615417,0.24812278151512146
16,0.8657755851745605,0.20161989331245422,0.8236910700798035,0.25719669461250305
17,0.8761395215988159,0.17598307132720947,0.8299655318260193,0.24309274554252625
18,0.8710393309593201,0.18803814053535461,0.7681528925895691,0.34893128275871277
19,0.8627133369445801,0.1894391030073166,0.8024907112121582,0.29094722867012024
0,0.8782305717468262,0.15689533948898315,0.7998082637786865,0.30549344420433044
1,0.8642256855964661,0.2011343240737915,0.8170650005340576,0.2679617702960968
2,0.8690560460090637,0.1813402771949768,0.8278141617774963,0.2574281096458435
3,0.8739680647850037,0.17862533032894135,0.8252094388008118,0.25997665524482727
4,0.882047712802887,0.1685285121202469,0.8289435505867004,0.2561648488044739
5,0.8854110836982727,0.1645287275314331,0.8317946791648865,0.2502436339855194
6,0.8832294940948486,0.17656607925891876,0.8375256061553955,0.24072293937206268
7,0.8973342180252075,0.14653539657592773,0.8348122835159302,0.2548712193965912
8,0.8920454978942871,0.16247132420539856,0.6538432836532593,0.6708904504776001
9,0.8917992115020752,0.1554938405752182,0.8416823148727417,0.23814502358436584
